school_id,school_name
1962,가곡고등학교
1963,가은고등학교
1964,가천고등학교
1965,간동고등학교
1966,간디고등학교
1967,갈산고등학교
1968,감포고등학교
1969,갑천고등학교
1970,강경고등학교
1971,강경상업고등학교
1972,강구정보고등학교
1973,강남영상미디어고등학교
1974,강릉정보공업고등학교
1975,강원고등학교
1976,강원생활과학고등학교
1977,강원애니고등학교
1978,강원예술고등학교
1979,강원외국어고등학교
1980,강진고등학교
1981,강호항공고등학교
1982,강화고등학교
1983,강화여자고등학교
1984,거제여자상업고등학교
1985,거제옥포고등학교
1986,거제제일고등학교
1987,거진정보공업고등학교
1988,거창고등학교
1989,거창공업고등학교
1990,거창대성고등학교
1991,거창여자고등학교
1992,거창중앙고등학교
1993,건양대학교병설건양고등학교
1994,경기과학고등학교
1995,경기상업고등학교
1996,경기체육고등학교
1997,경남간호고등학교
1998,경남고성음악고등학교
1999,경남과학고등학교
2000,경남꿈키움중학교
2001,경남로봇고등학교
2002,경남산업고등학교
2003,경남은광학교
2004,경남자영고등학교
2005,경남체육고등학교
2006,경남항공고등학교
2007,경남해양과학고등학교
2008,경복고등학교
2009,경복고등학교부설방송통신고등학교
2010,경북간호고등학교
2011,경북과학기술고등학교
2012,경북기계금속고등학교
2013,경북드론고등학교
2014,경북생활과학고등학교
2015,경북식품과학마이스터고등학교
2016,경북영광학교
2017,경북인터넷고등학교
2018,경북일고등학교
2019,경북조리과학고등학교
2020,경북항공고등학교
2021,경산여자상업고등학교
2022,경산자인학교
2023,경신고등학교
2024,경주디자인고등학교
2025,경주마케팅고등학교
2026,경주화랑고등학교
2027,경호고등학교
2028,계룡고등학교
2029,계명고등학교
2030,계명고등학교(2년제)
2031,고금고등학교
2032,고령고등학교
2033,고산고등학교
2034,고성고등학교
2035,고성고등학교
2036,고성중앙고등학교
2037,고창고등학교
2038,고창북고등학교
2039,고창여자고등학교
2040,고한고등학교
2041,고흥고등학교
2042,고흥도화고등학교
2043,고흥산업과학고등학교
2044,고흥영주고등학교
2045,곡성고등학교
2046,곤양고등학교
2047,공군항공과학고등학교
2048,공동체비전고등학교
2049,공주마이스터고등학교
2050,광남고등학교
2051,광양고등학교
2052,광양여자고등학교
2053,광양하이텍고등학교
2054,광천고등학교
2055,광천제일고등학교
2056,광혜원고등학교
2057,괴산고등학교
2058,교동고등학교
2059,구례고등학교
2060,구림공업고등학교
2061,군북고등학교
2062,군산중앙고등학교
2063,군위고등학교
2064,군위정보고등학교
2065,글로벌선진학교
2066,글로벌선진학교문경캠퍼스
2067,금남고등학교
2068,금산고등학교
2069,금산산업고등학교
2070,금산여자고등학교
2071,금산하이텍고등학교
2072,금성고등학교
2073,금성여자상업고등학교
2074,금천고등학교
2075,금호공업고등학교
2076,기계고등학교
2077,기린고등학교
2078,기장고등학교
2079,김제서고등학교
2080,김천상업고등학교
2081,김화고등학교
2082,김화공업고등학교
2083,꽃동네학교
2084,나주이화학교
2085,남악고등학교
2086,남지고등학교
2087,남창고등학교
2088,남해고등학교
2089,남해정보산업고등학교
2090,남해제일고등학교
2091,남해해성고등학교
2092,내면고등학교
2093,노화고등학교
2094,녹동고등학교
2095,능주고등학교
2096,다다예술학교
